region,country,2023,unit
Anzoátegui,Venezuela,1813574.00,人
Sinaloa,Mexico,2261975.00,人
N’Djamena,Chad,807000.00,人
Norte de Santander,Colombia,1478432.00,人
Małopolskie,Poland,1549469.00,人
Oran,Algeria,1584131.00,人
Pasig,Philippines,825425.00,人
Kentrikí Makedonía,Greece,1754960.00,人
Blantyre,Malawi,800264.00,人
Huila,Colombia,1894043.00,人
Estuaire,Gabon,928257.00,人
Querétaro,Mexico,1424540.00,人
Niigata,Japan,2277470.00,人
Nghệ An,Vietnam,810912.00,人
Shizuoka,Japan,3964260.00,人
Alabama,United States,3658935.00,人
Huíla,Angola,2873153.00,人
Hesse,Germany,4722606.00,人
Ḩimş,Syria,1126146.00,人
Basque Country,Spain,1929372.00,人
San Luis Potosí,Mexico,1781354.00,人
Sughd,Tajikistan,2641277.00,人
Hamnam,"Korea, North",1267185.00,人
Erzurum,Turkey,1066612.00,人
New Mexico,United States,1608011.00,人
"Zagreb, Grad",Croatia,837931.00,人
Dodoma,Tanzania,806669.00,人
Kaduna,Nigeria,1168282.00,人
Manitoba,Canada,975477.00,人
Gedo,Somalia,1244378.00,人
Western,Sri Lanka,2143329.00,人
Rio Grande do Norte,Brazil,2687069.00,人
Pomorskie,Poland,1756501.00,人
Andijon,Uzbekistan,1278449.00,人
Mudug,Somalia,951213.00,人
Nampula,Mozambique,1509201.00,人
Vallée du Bandama,Côte d’Ivoire,909275.00,人
Cabinda,Angola,820775.00,人
Kumamoto,Japan,1764892.00,人
Kermān,Iran,1768852.00,人
Āz̄arbāyjān-e Gharbī,Iran,1855004.00,人
Osun,Nigeria,2608647.00,人
Cagayan de Oro,Philippines,728402.00,人
Al ‘Āşimah,Bahrain,813588.00,人
South Carolina,United States,4170763.00,人
An Najaf,Iraq,896005.00,人
Okayama,Japan,1902473.00,人
Biobío,Chile,1710017.00,人
Cortés,Honduras,1389049.00,人
Lvivska Oblast,Ukraine,1332702.00,人
Valenzuela,Philippines,816502.00,人
Huambo,Angola,2086221.00,人
Zaporizka Oblast,Ukraine,1164975.00,人
Oslo,Norway,718677.00,人
"Bristol, City of",United Kingdom,718923.00,人
Namp’o,"Korea, North",703317.00,人
Cavite,Philippines,4392055.00,人
Bari,Somalia,1232349.00,人
Al Lādhiqīyah,Syria,784176.00,人
General Santos,Philippines,697315.00,人
Ḩamāh,Syria,1064839.00,人
Bauchi,Nigeria,799387.00,人
Al Fayyūm,Egypt,1364306.00,人
Kogi,Nigeria,1307125.00,人
Karbalā’,Iraq,774200.00,人
Parañaque,Philippines,1095336.00,人
Aragon,Spain,979578.00,人
Kalimantan Barat,Indonesia,1106036.00,人
Gīlān,Iran,1282946.00,人
Littoral,Benin,679012.00,人
Västra Götaland,Sweden,1273620.00,人
Guerrero,Mexico,1839166.00,人
Hamadān,Iran,1681101.00,人
Dolnośląskie,Poland,1756409.00,人
Murcia,Spain,1806951.00,人
Łódzkie,Poland,1386040.00,人
Bali,Indonesia,1116066.00,人
Hambuk,"Korea, North",901607.00,人
Bulawayo,Zimbabwe,665952.00,人
Sergipe,Brazil,2115946.00,人
Zuid-Holland,Netherlands,3516029.00,人
Meta,Colombia,1133837.00,人
Mato Grosso do Sul,Brazil,1944733.00,人
Dagestan,Russia,1233661.00,人
Kalimantan Selatan,Indonesia,1223914.00,人
Copperbelt,Zambia,2074437.00,人
La Guaira,Venezuela,1001948.00,人
Taraba,Nigeria,753146.00,人
Chungnam,"Korea, South",1666542.00,人
Uttarākhand,India,3730459.00,人
Atlantique,Benin,1515915.00,人
Durango,Mexico,1309180.00,人
Asyūţ,Egypt,1597434.00,人
Thừa Thiên-Huế,Vietnam,841520.00,人
Bulacan,Philippines,3854676.00,人
Denizli,Turkey,1338005.00,人
Monagas,Venezuela,771658.00,人
Chişinău,Moldova,720318.00,人
Tallinn,Estonia,638076.00,人
Canary Islands,Spain,2421409.00,人
Banghāzī,Libya,701990.00,人
Sicilia,Italy,3869875.00,人
Makati,Philippines,784552.00,人
Glasgow City,United Kingdom,688147.00,人
Rivnenska Oblast,Ukraine,1088389.00,人
Irkutskaya Oblast’,Russia,1489989.00,人
Altayskiy Kray,Russia,1170692.00,人
Plateau,Nigeria,622802.00,人
Ad Daqahlīyah,Egypt,2474839.00,人
Saxony,Germany,2866723.00,人
Udmurtiya,Russia,956720.00,人
Arusha,Tanzania,636467.00,人
Khabarovskiy Kray,Russia,896623.00,人
Kandahār,Afghanistan,614254.00,人
Oriental,Morocco,1932486.00,人
Banten,Indonesia,1237993.00,人
Ul’yanovskaya Oblast’,Russia,779112.00,人
Jambi,Indonesia,713487.00,人
Pahang,Malaysia,763209.00,人
Las Piñas,Philippines,688032.00,人
Tucumán,Argentina,937118.00,人
Ar Rayyān,Qatar,660051.00,人
Rīga,Latvia,605273.00,人
Malanje,Angola,931540.00,人
Djibouti,Djibouti,603900.00,人
Bacolod,Philippines,600783.00,人
Nord,Cameroon,907826.00,人
North-West,Cameroon,1054180.00,人
Ouest,Cameroon,1087018.00,人
Haifa,Israel,1059108.00,人
Tunis,Tunisia,929440.00,人
Şanlıurfa,Turkey,1978549.00,人
Ḩaḑramawt,Yemen,807148.00,人
Kagoshima,Japan,1534762.00,人
Dublin,Ireland,965516.00,人
Al Gharbīyah,Egypt,1170058.00,人
Primorskiy Kray,Russia,1358244.00,人
Risaralda,Colombia,1036097.00,人
,Gaza Strip,1397226.00,人
Tamaulipas,Mexico,2853872.00,人
Sīstān va Balūchestān,Iran,1226597.00,人
Vilniaus Miestas,Lithuania,602374.00,人
Kingston,Jamaica,580000.00,人
Al Mafraq,Jordan,580000.00,人
Red Sea,Sudan,661330.00,人
Khánh Hòa,Vietnam,940649.00,人
Chiapas,Mexico,2785196.00,人
Bremen,Germany,706645.00,人
Mymensingh,Bangladesh,912306.00,人
Iloilo,Philippines,2678798.00,人
Lomami,Congo (Kinshasa),956907.00,人
Kahramanmaraş,Turkey,1068563.00,人
Al Buḩayrah,Egypt,1745069.00,人
Irbid,Jordan,954626.00,人
,Macau,568700.00,人
Yaroslavskaya Oblast’,Russia,907924.00,人
Flanders,Belgium,6708030.00,人
Iowa,United States,2416300.00,人
Liguria,Italy,1097056.00,人
Herāt,Afghanistan,674039.00,人
Akwa Ibom,Nigeria,782894.00,人
Lambayeque,Peru,705155.00,人
Lower Saxony,Germany,6365976.00,人
Balearic Islands,Spain,1014901.00,人
North West,South Africa,1832004.00,人
Lisboa,Portugal,2761002.00,人
"Sevastopol, Misto",Ukraine,558168.00,人
Manchester,United Kingdom,702003.00,人
Wielkopolskie,Poland,1649630.00,人
Tolima,Colombia,1286793.00,人
Tomskaya Oblast’,Russia,735601.00,人
Kedah,Malaysia,791851.00,人
Kemerovskaya Oblast’,Russia,1845750.00,人
Cesar,Colombia,1158323.00,人
Muntinlupa,Philippines,1061775.00,人
Sumalē,Ethiopia,2684598.00,人
Mbeya,Tanzania,638463.00,人
Dhī Qār,Iraq,941700.00,人
Bābil,Iraq,859688.00,人
Laguna,Philippines,3382193.00,人
West Darfur,Sudan,538390.00,人
Souss-Massa,Morocco,1955640.00,人
Orenburgskaya Oblast’,Russia,1039500.00,人
Leeds,United Kingdom,903629.00,人
Kassala,Sudan,536009.00,人
Salta,Argentina,915429.00,人
Wakiso,Uganda,1098358.00,人
Sofala,Mozambique,601421.00,人
Moskovskaya Oblast’,Russia,4995414.00,人
Yazd,Iran,876172.00,人
Ardabīl,Iran,700818.00,人
Diourbel,Senegal,697675.00,人
Hormozgān,Iran,713491.00,人
Van,Turkey,1174132.00,人
Būr Sa‘īd,Egypt,594850.00,人
Tripura,India,656690.00,人
Cundinamarca,Colombia,2714478.00,人
Markazī,Iran,1057030.00,人
Auvergne-Rhône-Alpes,France,3686790.00,人
Ryazanskaya Oblast’,Russia,673576.00,人
Tochigi,Japan,1927793.00,人
Sheffield,United Kingdom,673114.00,人
As Suways,Egypt,516959.00,人
Qaraghandy,Kazakhstan,915556.00,人
Magdalena,Colombia,1326312.00,人
Qinā,Egypt,1552864.00,人
Samarqand,Uzbekistan,978890.00,人
Liverpool,United Kingdom,612788.00,人
Amapá,Brazil,694106.00,人
Benguela,Angola,2277869.00,人
Bié,Angola,1373500.00,人
Banī Suwayf,Egypt,843097.00,人
Occitanie,France,2743426.00,人
Maysān,Iraq,511500.00,人
Galguduud,Somalia,655672.00,人
Ehime,Japan,1302221.00,人
Gyeongbuk,"Korea, South",2161291.00,人
Kansas,United States,2053844.00,人
Homyel’skaya Voblasts’,Belarus,984441.00,人
Farāh,Afghanistan,510000.00,人
Delta,Nigeria,1341977.00,人
North Darfur,Sudan,545000.00,人
Lapu-Lapu,Philippines,497604.00,人
Johor,Malaysia,2323561.00,人
Lipetskaya Oblast’,Russia,640049.00,人
Chuvashiya,Russia,733103.00,人
South Darfur,Sudan,492984.00,人
Bissau,Guinea-Bissau,492004.00,人
Greater Accra,Ghana,1151839.00,人
Kelantan,Malaysia,731274.00,人
‘Ajmān,United Arab Emirates,490035.00,人
Kaliningradskaya Oblast’,Russia,738570.00,人
Penzenskaya Oblast’,Russia,778756.00,人
"Edinburgh, City of",United Kingdom,560839.00,人
Malatya,Turkey,1295598.00,人
Nugaal,Somalia,506700.00,人
Mato Grosso,Brazil,2191145.00,人
Sūhāj,Egypt,1552072.00,人
Az Zarqā’,Jordan,968704.00,人
Valletta,Malta,480134.00,人
Lualaba,Congo (Kinshasa),533927.00,人
Sylhet,Bangladesh,654973.00,人
Asunción,Paraguay,477346.00,人
Bratislava,Slovakia,684155.00,人
Ōita,Japan,1026164.00,人
West Sussex,United Kingdom,956397.00,人
Piura,Peru,985601.00,人
Espírito Santo,Brazil,3301970.00,人
Kirovskaya Oblast’,Russia,657808.00,人
Morogoro,Tanzania,837649.00,人
San Juan,Argentina,831864.00,人
Mykolaivska Oblast,Ukraine,668837.00,人
Balkh,Afghanistan,604744.00,人
Diyālá,Iraq,938024.00,人
Tel Aviv,Israel,1422762.00,人
Arkansas,United States,2112421.00,人
Al Qaşīm,Saudi Arabia,852412.00,人
Nusa Tenggara Timur,Indonesia,1323896.00,人
Tul’skaya Oblast’,Russia,1046631.00,人
Nakhon Ratchasima,Thailand,647349.00,人
Bình Dương,Vietnam,1067763.00,人
Astrakhanskaya Oblast’,Russia,571559.00,人
Leicester,United Kingdom,501247.00,人
Angeles,Philippines,462928.00,人
Ishikawa,Japan,1121274.00,人
Sulawesi Utara,Indonesia,1441223.00,人
Central Equatoria,South Sudan,840342.00,人
Ta‘izz,Yemen,588236.00,人
Kwilu,Congo (Kinshasa),851475.00,人
Marikina,Philippines,527095.00,人
Melaka,Malaysia,455300.00,人
