GeoFips,region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,unit
37000,North Carolina,24672180000000.0,26492430000000.0,27755609999999.996,28731709999999.996,29765300000000.0,31020030000000.0,32901770000000.0,35479850000000.0,38801210000000.0,40218830000000.0,42070720000000.0,41309680000000.0,42228220000000.0,43004010000000.0,44406320000000.0,46094640000000.0,48229570000000.0,50867240000000.0,52828430000000.01,54681010000000.0,56803730000000.01,59244960000000.0,60068330000000.01,66214710000000.0,72849870000000.0,78810320000000.0,83912220000000.0,美元
38000,North Dakota,1684270000000.0,1708370000000.0,1811509999999.9998,1897690000000.0002,2019559999999.9998,2212990000000.0,2320960000000.0,2457200000000.0,2640650000000.0,2904460000000.0,3202770000000.0,3231040000000.0,3565180000000.0005,4160210000000.0,5207910000000.0,5487700000000.0,6110830000000.0,5695220000000.0,5266630000000.0,5653020000000.0,6037710000000.0,6089250000000.0,5556850000000.0,6383850000000.0,7378000000000.0,7604330000000.0,7539939999999.999,美元
39000,Ohio,36147930000000.0,37579720000000.0,39103230000000.0,39586420000000.0,41119110000000.0,42553070000000.0,44781330000000.0,47017950000000.0,48290400000000.0,49760010000000.0,50091640000000.0,48440710000000.0,50027420000000.0,52545640000000.0,54303540000000.0,56641990000000.0,59715230000000.01,61527550000000.0,62729469999999.99,65218750000000.0,67254010000000.0,70291480000000.01,69268369999999.99,76359580000000.0,83266070000000.0,88483420000000.0,92774010000000.0,美元
40000,Oklahoma,8177860000000.001,8478560000000.001,9164570000000.0,9750530000000.0,9991690000000.0,10617510000000.0,11423750000000.0,12596140000000.0,13835229999999.998,14658240000000.0,16160900000000.0,14733240000000.0,15526750000000.0,16720790000000.0,17536120000000.002,18410460000000.0,19707410000000.0,18736470000000.0,18223880000000.0,19253860000000.0,20419390000000.0,20599270000000.0,19251620000000.0,21778650000000.0,24597620000000.0,25668940000000.0,26577909999999.996,美元
41000,Oregon,10501640000000.0,10751320000000.0,11705720000000.0,11700240000000.0,12055610000000.0,12682210000000.0,13649590000000.0,14355629999999.998,15377960000000.0,15967620000000.002,16412290000000.0,15933040000000.0,16315050000000.0,16969379999999.998,17385679999999.998,17897540000000.0,18783760000000.0,20059260000000.0,21178240000000.0,22553450000000.0,23846690000000.0,24878180000000.0,25157770000000.0,27565309999999.996,29884800000000.0,31888409999999.996,33102859999999.996,美元
42000,Pennsylvania,37351500000000.0,39113610000000.0,40933020000000.0,42846370000000.0,44088750000000.0,46047830000000.0,48638450000000.0,51076390000000.0,52877119999999.99,56323860000000.0,58688660000000.0,58121990000000.0,60462960000000.0,62376790000000.0,64643430000000.01,67076740000000.0,69554660000000.0,71653430000000.0,73316590000000.0,75431800000000.0,78062070000000.0,80223310000000.0,77700080000000.0,84443180000000.0,91974110000000.0,97636080000000.0,102420630000000.0,美元
44000,Rhode Island,3083530000000.0,3234000000000.0,3460850000000.0,3594010000000.0,3789119999999.9995,3978710000000.0,4257819999999.9995,4441330000000.0,4716530000000.0,4749010000000.0,4713890000000.0,4764720000000.0,4940910000000.0,5012370000000.0,5152750000000.0,5299420000000.0,5461250000000.0,5660400000000.0,5771460000000.0,5877160000000.0,6006490000000.0,6281470000000.0,6212490000000.0,6722830000000.0,7286920000000.0,7757389999999.999,8249250000000.0,美元
45000,South Carolina,10368860000000.0,11031290000000.0,11533270000000.0,11935520000000.0,12476520000000.0,13150910000000.0,13667990000000.0,14519579999999.998,15345340000000.0,16247629999999.998,16447120000000.002,16238040000000.0,16676740000000.0,17284470000000.002,17850390000000.0,18626830000000.0,19574440000000.0,20751000000000.0,21755550000000.0,22493760000000.0,23656170000000.0,24957570000000.0,24943020000000.0,27238470000000.0,30194509999999.996,32742009999999.996,34996540000000.004,美元
46000,South Dakota,2025780000000.0,2118180000000.0,2286670000000.0,2362690000000.0,2634350000000.0,2730500000000.0,2938090000000.0,3110430000000.0,3255930000000.0,3528260000000.0,3693930000000.0005,3673210000000.0,3820819999999.9995,4208269999999.9995,4412730000000.0,4549860000000.0,4715990000000.0,4867890000000.0,4984260000000.0,5161510000000.0,5334950000000.0,5517580000000.0,5625440000000.0,6298480000000.0,6906930000000.0,7403389999999.999,7517950000000.0,美元
47000,Tennessee,16778300000000.0,17646720000000.0,18220970000000.0,18591720000000.0,19538610000000.0,20466590000000.0,21986240000000.0,23133900000000.0,24310440000000.0,24826160000000.0,25554670000000.0,25294070000000.0,25865760000000.0,27005500000000.0,28589750000000.0,29675630000000.0,30744850000000.0,32638250000000.0,33935020000000.0,35541750000000.0,36971320000000.0,38583300000000.0,39156320000000.0,44195250000000.0,48867010000000.0,52303160000000.0,54970850000000.0,美元
48000,Texas,64824310000000.0,68334740000000.0,74216150000000.0,78020620000000.0,79635730000000.0,84086080000000.0,92123070000000.0,100374590000000.0,110823650000000.0,119856500000000.0,125314200000000.0,117916810000000.02,125566080000000.0,135177689999999.98,142958800000000.0,152678190000000.0,159217760000000.0,158598590000000.0,158298150000000.0,166731300000000.0,180802690000000.0,186487230000000.0,180214370000000.0,208897230000000.0,243692500000000.0,258386620000000.03,270939290000000.0,美元
49000,Utah,6207010000000.0,6577339999999.999,7005630000000.0,7304250000000.0,7628939999999.999,7950470000000.0,8676670000000.0,9551200000000.0,10678710000000.0,11518070000000.0,11694920000000.0,11383480000000.0,11829630000000.0,12513780000000.0,12943140000000.0,13534429999999.998,14262770000000.002,14976210000000.0,15933060000000.0,17207500000000.0,18680570000000.0,20131220000000.0,20564790000000.0,23256190000000.0,26108080000000.0,28132909999999.996,30090380000000.0,美元
50000,Vermont,1619770000000.0,1731480000000.0,1849290000000.0002,1946709999999.9998,2038350000000.0,2139850000000.0,2298630000000.0,2376300000000.0,2450710000000.0,2502520000000.0,2614040000000.0,2622000000000.0,2747830000000.0,2855850000000.0,2932560000000.0,2947760000000.0,3035940000000.0,3115240000000.0,3184020000000.0,3258920000000.0,3348260000000.0,3476030000000.0005,3441490000000.0,3743880000000.0005,4101160000000.0,4353380000000.0005,4570720000000.0,美元
51000,Virginia,23256990000000.0,25017130000000.0,26860870000000.0,28566340000000.004,29492909999999.996,31109309999999.996,33181580000000.0,35742700000000.0,37642940000000.0,39159550000000.0,40215780000000.0,40993530000000.0,42549080000000.0,43368370000000.0,44500850000000.0,45691160000000.0,46560170000000.0,48554090000000.0,49903240000000.0,51516720000000.0,53715830000000.01,56170180000000.01,56546680000000.01,61598469999999.99,66668180000000.01,71989690000000.0,76447480000000.0,美元
53000,Washington,20922250000000.0,22967890000000.0,23759400000000.0,23797820000000.0,24562980000000.0,25472020000000.0,26742390000000.004,29340200000000.0,31419080000000.0,34171230000000.0,35246070000000.0,34994540000000.004,36354420000000.0,37751880000000.0,39835850000000.0,41692410000000.0,43985120000000.0,46759060000000.0,48979020000000.0,52716940000000.0,57033780000000.01,60864340000000.0,62013290000000.0,68770230000000.01,74290950000000.0,80786450000000.0,85468330000000.0,美元
54000,West Virginia,4025890000000.0,4194219999999.9995,4262069999999.9995,4410510000000.0,4562740000000.0,4723040000000.0,4986590000000.0,5381430000000.0,5720410000000.0,5948040000000.0,6297870000000.0,6404010000000.0,6616039999999.999,6936760000000.001,7030310000000.001,7175860000000.001,7304260000000.001,7171339999999.999,7124889999999.999,7517239999999.999,7979430000000.0,8024239999999.999,7743089999999.999,8655050000000.0,9829000000000.0,10215180000000.0,10766010000000.0,美元
55000,Wisconsin,16302150000000.0,17292850000000.0,18088310000000.0,18866280000000.0,19554150000000.0,20381400000000.0,21637040000000.0,22693750000000.0,23757190000000.0,24583770000000.0,24649300000000.0,24632380000000.0,25615950000000.0,26544400000000.0,27625340000000.004,28379140000000.004,29616990000000.004,30830450000000.0,31542000000000.0,32188680000000.0,33514430000000.0,34690659999999.996,34327220000000.0,36888040000000.0,40062140000000.0,42844710000000.0,45128530000000.0,美元
56000,Wyoming,1483320000000.0,1568570000000.0,1715370000000.0,1874170000000.0,1916080000000.0,2119900000000.0,2341810000000.0,2753020000000.0,3269220000000.0,3691280000000.0005,4269460000000.0,3628219999999.9995,3756750000000.0,3961510000000.0,3867930000000.0005,3936560000000.0,4057390000000.0,3862480000000.0005,3610590000000.0,3762030000000.0005,3961450000000.0,4002950000000.0,3670960000000.0,4231910000000.0,4978260000000.0,5199050000000.0,5294610000000.0,美元
